#  E (eV)   dos(E)     Int dos(E) EFermi =    6.171 eV
  -7.750  0.3980E-45  0.6191E-47
  -7.740  0.1106E-44  0.1725E-46
  -7.730  0.3057E-44  0.4782E-46
  -7.720  0.8411E-44  0.1319E-45
  -7.710  0.2302E-43  0.3621E-45
  -7.700  0.6270E-43  0.9891E-45
  -7.690  0.1699E-42  0.2688E-44
  -7.680  0.4581E-42  0.7269E-44
  -7.670  0.1229E-41  0.1956E-43
  -7.660  0.3281E-41  0.5237E-43
  -7.650  0.8714E-41  0.1395E-42
  -7.640  0.2303E-40  0.3698E-42
  -7.630  0.6056E-40  0.9754E-42
  -7.620  0.1584E-39  0.2560E-41
  -7.610  0.4125E-39  0.6685E-41
  -7.600  0.1069E-38  0.1737E-40
  -7.590  0.2754E-38  0.4491E-40
  -7.580  0.7063E-38  0.1155E-39
  -7.570  0.1802E-37  0.2958E-39
  -7.560  0.4576E-37  0.7533E-39
  -7.550  0.1156E-36  0.1909E-38
  -7.540  0.2906E-36  0.4815E-38
  -7.530  0.7267E-36  0.1208E-37
  -7.520  0.1809E-35  0.3017E-37
  -7.510  0.4478E-35  0.7495E-37
  -7.500  0.1103E-34  0.1853E-36
  -7.490  0.2705E-34  0.4558E-36
  -7.480  0.6597E-34  0.1116E-35
  -7.470  0.1601E-33  0.2717E-35
  -7.460  0.3867E-33  0.6583E-35
  -7.450  0.9291E-33  0.1587E-34
  -7.440  0.2221E-32  0.3809E-34
  -7.430  0.5284E-32  0.9093E-34
  -7.420  0.1251E-31  0.2160E-33
  -7.410  0.2945E-31  0.5105E-33
  -7.400  0.6902E-31  0.1201E-32
  -7.390  0.1609E-30  0.2810E-32
  -7.380  0.3734E-30  0.6544E-32
  -7.370  0.8618E-30  0.1516E-31
  -7.360  0.1979E-29  0.3496E-31
  -7.350  0.4524E-29  0.8019E-31
  -7.340  0.1029E-28  0.1831E-30
  -7.330  0.2327E-28  0.4158E-30
  -7.320  0.5239E-28  0.9397E-30
  -7.310  0.1174E-27  0.2113E-29
  -7.300  0.2616E-27  0.4729E-29
  -7.290  0.5801E-27  0.1053E-28
  -7.280  0.1280E-26  0.2333E-28
  -7.270  0.2810E-26  0.5143E-28
  -7.260  0.6139E-26  0.1128E-27
  -7.250  0.1334E-25  0.2462E-27
  -7.240  0.2886E-25  0.5348E-27
  -7.230  0.6210E-25  0.1156E-26
  -7.220  0.1330E-24  0.2485E-26
  -7.210  0.2832E-24  0.5318E-26
  -7.200  0.6004E-24  0.1132E-25
  -7.190  0.1266E-23  0.2399E-25
  -7.180  0.2658E-23  0.5056E-25
  -7.170  0.5549E-23  0.1061E-24
  -7.160  0.1153E-22  0.2214E-24
  -7.150  0.2384E-22  0.4597E-24
  -7.140  0.4903E-22  0.9500E-24
  -7.130  0.1003E-21  0.1953E-23
  -7.120  0.2043E-21  0.3997E-23
  -7.110  0.4140E-21  0.8137E-23
  -7.100  0.8347E-21  0.1648E-22
  -7.090  0.1674E-20  0.3323E-22
  -7.080  0.3342E-20  0.6665E-22
  -7.070  0.6637E-20  0.1330E-21
  -7.060  0.1312E-19  0.2642E-21
  -7.050  0.2579E-19  0.5220E-21
  -7.040  0.5045E-19  0.1026E-20
  -7.030  0.9819E-19  0.2008E-20
  -7.020  0.1902E-18  0.3910E-20
  -7.010  0.3665E-18  0.7575E-20
  -7.000  0.7027E-18  0.1460E-19
  -6.990  0.1341E-17  0.2801E-19
  -6.980  0.2545E-17  0.5346E-19
  -6.970  0.4807E-17  0.1015E-18
  -6.960  0.9033E-17  0.1919E-18
  -6.950  0.1689E-16  0.3608E-18
  -6.940  0.3143E-16  0.6750E-18
  -6.930  0.5818E-16  0.1257E-17
  -6.920  0.1072E-15  0.2328E-17
  -6.910  0.1964E-15  0.4293E-17
  -6.900  0.3582E-15  0.7874E-17
  -6.890  0.6499E-15  0.1437E-16
  -6.880  0.1173E-14  0.2610E-16
  -6.870  0.2107E-14  0.4718E-16
  -6.860  0.3767E-14  0.8485E-16
  -6.850  0.6699E-14  0.1518E-15
  -6.840  0.1185E-13  0.2704E-15
  -6.830  0.2087E-13  0.4790E-15
  -6.820  0.3656E-13  0.8446E-15
  -6.810  0.6372E-13  0.1482E-14
  -6.800  0.1105E-12  0.2587E-14
  -6.790  0.1907E-12  0.4493E-14
  -6.780  0.3274E-12  0.7767E-14
  -6.770  0.5593E-12  0.1336E-13
  -6.760  0.9506E-12  0.2287E-13
  -6.750  0.1608E-11  0.3894E-13
  -6.740  0.2705E-11  0.6600E-13
  -6.730  0.4530E-11  0.1113E-12
  -6.720  0.7546E-11  0.1868E-12
  -6.710  0.1251E-10  0.3118E-12
  -6.700  0.2063E-10  0.5181E-12
  -6.690  0.3385E-10  0.8567E-12
