 &plot nbnd=  12, nks=   101 /
           -1.224226  0.408075 -0.408075
   -3.257   -0.679    3.297    4.588    8.288    9.962   10.348   14.152   14.661   15.018
   17.070   19.435
           -1.163015  0.387672 -0.387672
   -3.399   -0.787    4.109    4.783    8.217    9.419    9.808   14.091   15.334   15.689
   17.020   18.544
           -1.101804  0.367268 -0.367268
   -3.476   -0.852    4.772    4.913    7.756    9.401    9.490   13.755   16.240   16.382
   17.309   17.729
           -1.040592  0.346864 -0.346864
   -3.488   -0.862    4.899    4.934    7.644    9.420    9.442   13.691   16.525   16.579
   17.382   17.512
           -0.979381  0.326460 -0.326460
   -3.433   -0.815    4.369    4.838    8.070    9.379    9.671   13.965   15.641   15.931
   17.110   18.249
           -0.918170  0.306057 -0.306057
   -3.312   -0.719    3.579    4.659    8.321    9.708   10.141   14.230   14.828   15.243
   16.982   19.124
           -0.856959  0.285653 -0.285653
   -3.132   -0.601    2.778    4.448    8.150   10.548   10.795   13.740   14.476   14.615
   17.478   20.030
           -0.795747  0.265249 -0.265249
   -2.902   -0.517    2.108    4.246    7.897   11.531   11.573   13.037   14.078   14.083
   18.558   20.922
           -0.734536  0.244845 -0.244845
   -2.655   -0.565    1.724    4.078    7.685   12.053   12.350   12.889   13.604   13.736
   19.911   21.041
           -0.673325  0.224442 -0.224442
   -2.481   -0.732    1.715    3.960    7.548   11.565   12.631   13.004   13.954   14.061
   20.133   21.214
           -0.612113  0.204038 -0.204038
   -2.565   -0.736    1.985    3.901    7.498   11.053   12.406   12.501   15.025   15.047
   19.442   19.999
           -0.550902  0.183634 -0.183634
   -2.946   -0.416    2.407    3.907    7.536   10.628   11.999   12.113   15.997   16.227
   18.685   18.937
           -0.489691  0.163230 -0.163230
   -3.449    0.115    2.910    3.980    7.652   10.318   11.515   11.832   16.562   17.251
   17.697   18.003
           -0.428479  0.142826 -0.142826
   -3.961    0.771    3.453    4.121    7.819   10.152   11.057   11.557   16.298   16.515
   16.835   18.813
           -0.367268  0.122423 -0.122423
   -4.435    1.515    4.006    4.329    7.995   10.136   10.664   11.256   15.365   15.483
   16.447   19.058
           -0.306057  0.102019 -0.102019
   -4.852    2.329    4.545    4.600    8.143   10.024   10.607   10.883   14.313   14.644
   16.198   18.112
           -0.244845  0.081615 -0.081615
   -5.202    3.198    4.928    5.048    8.263    9.692   10.409   10.929   13.268   14.173
   15.826   17.359
           -0.183634  0.061211 -0.061211
   -5.477    4.102    5.298    5.489    8.382    9.361    9.855   11.020   12.710   13.929
   15.204   17.062
           -0.122423  0.040808 -0.040808
   -5.677    4.999    5.680    5.839    8.511    9.072    9.298   10.413   13.025   13.845
   14.530   17.076
           -0.061211  0.020404 -0.020404
   -5.797    5.782    6.006    6.065    8.622    8.820    8.849    9.719   13.579   13.840
   14.038   17.191
            0.000000  0.000000  0.000000
   -5.837    6.144    6.144    6.144    8.666    8.666    8.666    9.442   13.847   13.847
   13.857   17.254
           -0.040808  0.040808 -0.040808
   -5.793    5.677    6.071    6.071    8.725    8.774    8.774    9.770   13.696   13.696
   14.053   17.074
           -0.081615  0.081615 -0.081615
   -5.662    4.708    5.888    5.888    8.620    9.042    9.042   10.630   13.392   13.392
   14.565   16.717
           -0.122423  0.122423 -0.122423
   -5.447    3.623    5.664    5.664    8.406    9.349    9.349   11.647   13.169   13.169
   15.048   16.657
           -0.163230  0.163230 -0.163230
   -5.150    2.542    5.446    5.446    8.175    9.569    9.569   12.659   13.204   13.204
   15.006   17.427
           -0.204038  0.204038 -0.204038
   -4.781    1.516    5.258    5.258    7.967    9.634    9.634   13.537   13.578   13.578
   14.855   18.649
           -0.244845  0.244845 -0.244845
   -4.357    0.582    5.110    5.110    7.800    9.584    9.584   13.870   14.256   14.256
   15.270   19.804
           -0.285653  0.285653 -0.285653
   -3.920   -0.209    5.007    5.007    7.682    9.499    9.499   13.783   15.153   15.153
   16.175   19.202
           -0.326460  0.326460 -0.326460
   -3.574   -0.747    4.952    4.952    7.618    9.439    9.439   13.690   16.176   16.176
   17.072   17.954
           -0.367268  0.367268 -0.367268
   -3.513   -0.834    4.944    4.944    7.609    9.430    9.430   13.675   16.492   16.492
   17.272   17.606
           -0.408075  0.408075 -0.408075
   -3.788   -0.422    4.984    4.984    7.655    9.475    9.475   13.746   15.481   15.481
   16.488   18.781
           -0.448883  0.448883 -0.448883
   -4.212    0.303    5.071    5.071    7.756    9.556    9.556   13.856   14.530   14.530
   15.544   20.020
           -0.489691  0.489691 -0.489691
   -4.647    1.198    5.204    5.204    7.907    9.626    9.626   13.729   13.771   13.771
   14.901   19.065
           -0.530498  0.530498 -0.530498
   -5.036    2.198    5.380    5.380    8.103    9.607    9.607   12.973   13.288   13.288
   14.937   17.804
           -0.571306  0.571306 -0.571306
   -5.358    3.265    5.591    5.591    8.329    9.436    9.436   11.983   13.146   13.146
   15.089   16.821
           -0.612113  0.612113 -0.612113
   -5.601    4.357    5.817    5.817    8.555    9.145    9.145   10.958   13.300   13.300
   14.757   16.630
           -0.652921  0.652921 -0.652921
   -5.760    5.387    6.019    6.019    8.712    8.849    8.849   10.014   13.601   13.601
   14.195   16.960
           -0.693728  0.693728 -0.693728
   -5.832    6.087    6.136    6.136    8.678    8.678    8.681    9.475   13.829   13.829
   13.879   17.233
           -0.734536  0.734536 -0.734536
   -5.817    5.917    6.110    6.110    8.712    8.716    8.716    9.587   13.775   13.775
   13.947   17.168
           -0.775343  0.775343 -0.775343
   -5.715    5.049    5.956    5.956    8.673    8.943    8.943   10.317   13.493   13.493
   14.374   16.831
           -0.816151  0.816151 -0.816151
   -5.526    3.982    5.739    5.739    8.481    9.252    9.252   11.309   13.221   13.221
   14.935   16.598
           -0.836555  0.795747 -0.795747
   -5.554    4.157    5.637    5.817    8.579    9.045    9.374   11.143   13.031   13.479
   14.897   16.660
           -0.856959  0.775343 -0.775343
   -5.560    4.314    5.514    5.735    8.580    9.049    9.539   10.985   12.848   13.731
   14.923   16.852
           -0.877362  0.754940 -0.754940
   -5.544    4.433    5.379    5.545    8.339    9.386    9.735   10.826   12.691   13.959
   15.010   17.154
           -0.897766  0.734536 -0.734536
   -5.506    4.481    5.239    5.308    8.095    9.793    9.953   10.663   12.586   14.144
   15.161   17.531
           -0.918170  0.714132 -0.714132
   -5.447    4.389    5.100    5.104    7.914   10.164   10.181   10.505   12.567   14.275
   15.374   17.903
           -0.938574  0.693728 -0.693728
   -5.366    4.120    4.967    4.978    7.817   10.291   10.406   10.503   12.680   14.355
   15.639   17.973
           -0.958977  0.673325 -0.673325
   -5.264    3.737    4.844    4.876    7.807   10.169   10.615   10.637   12.948   14.407
   15.931   17.839
           -0.979381  0.652921 -0.652921
   -5.142    3.299    4.732    4.758    7.863   10.068   10.674   10.792   13.345   14.464
   16.199   17.756
           -0.999785  0.632517 -0.632517
   -4.999    2.837    4.621    4.633    7.954   10.021   10.646   10.924   13.823   14.558
   16.354   17.843
           -1.020189  0.612113 -0.612113
   -4.838    2.366    4.470    4.549    8.046   10.045   10.592   11.001   14.341   14.715
   16.351   18.143
           -1.040592  0.591709 -0.591709
   -4.658    1.896    4.314    4.480    8.113   10.136   10.554   11.024   14.876   14.945
   16.252   18.583
           -1.060996  0.571306 -0.571306
   -4.463    1.434    4.159    4.427    8.147   10.216   10.621   11.000   15.247   15.402
   16.133   19.054
           -1.081400  0.550902 -0.550902
   -4.253    0.989    4.009    4.391    8.156   10.203   10.867   10.941   15.612   15.777
   16.161   19.396
           -1.101804  0.530498 -0.530498
   -4.035    0.566    3.868    4.371    8.152   10.150   10.860   11.226   15.736   16.030
   16.607   18.856
           -1.122208  0.510094 -0.510094
   -3.813    0.174    3.738    4.367    8.146   10.094   10.767   11.650   15.613   16.482
   17.132   18.236
           -1.142611  0.489691 -0.489691
   -3.600   -0.174    3.620    4.380    8.148   10.043   10.672   12.116   15.480   16.897
   17.617   17.679
           -1.163015  0.469287 -0.469287
   -3.411   -0.460    3.516    4.409    8.160   10.004   10.578   12.613   15.336   16.754
   17.721   17.786
           -1.183419  0.448883 -0.448883
   -3.273   -0.658    3.427    4.454    8.188    9.976   10.492   13.129   15.164   16.187
   17.514   18.233
           -1.203823  0.428479 -0.428479
   -3.216   -0.736    3.354    4.514    8.230    9.962   10.415   13.651   14.941   15.594
   17.234   18.818
           -1.224226  0.408075 -0.408075
   -3.257   -0.679    3.297    4.588    8.288    9.962   10.348   14.152   14.661   15.018
   17.070   19.435
           -1.183419  0.367268 -0.408075
   -3.380   -0.734    3.877    4.723    8.349    9.402   10.020   14.170   14.951   15.585
   17.002   18.681
           -1.142611  0.326460 -0.408075
   -3.447   -0.768    4.314    4.779    8.155    9.303    9.801   13.956   15.160   16.311
   17.340   17.816
           -1.101804  0.285653 -0.408075
   -3.457   -0.773    4.392    4.784    8.096    9.328    9.752   13.917   15.183   16.528
   17.456   17.595
           -1.060996  0.244845 -0.408075
   -3.410   -0.748    4.054    4.751    8.304    9.313    9.937   14.088   15.051   15.829
   17.086   18.375
           -1.020189  0.204038 -0.408075
   -3.305   -0.699    3.503    4.644    8.330    9.745   10.208   14.247   14.730   15.177
   16.991   19.220
           -0.979381  0.163230 -0.408075
   -3.146   -0.641    2.909    4.452    8.206   10.273   10.808   13.767   14.397   15.002
   17.367   19.665
           -0.938574  0.122423 -0.408075
   -2.935   -0.603    2.377    4.173    8.146   10.586   11.809   13.079   13.772   15.242
   18.106   19.805
           -0.897766  0.081615 -0.408075
   -2.679   -0.633    1.988    3.827    8.206   10.885   12.377   12.880   13.216   15.490
   19.055   19.874
           -0.856959  0.040808 -0.408075
   -2.392   -0.771    1.806    3.450    8.388   11.132   11.867   12.469   14.121   15.757
   19.693   20.244
           -0.816151 -0.000000 -0.408075
   -2.119   -0.981    1.826    3.087    8.674   10.953   11.802   11.962   15.041   16.200
   19.405   20.668
           -0.775343 -0.040808 -0.408075
   -2.001   -1.080    1.966    2.804    9.047   10.500   11.338   12.282   15.419   16.996
   18.649   20.322
           -0.734536 -0.081615 -0.408075
   -2.177   -0.899    2.062    2.748    9.477   10.074   10.869   12.770   15.356   17.092
   18.605   20.257
           -0.693728 -0.122423 -0.408075
   -2.484   -0.608    2.048    2.992    9.641    9.953   10.543   13.315   14.816   16.525
   19.152   20.444
           -0.652921 -0.163230 -0.408075
   -2.801   -0.370    2.123    3.371    9.361    9.879   10.804   13.826   13.922   16.211
   19.021   19.897
           -0.612113 -0.204038 -0.408075
   -3.090   -0.258    2.404    3.784    9.134    9.595   11.414   12.747   14.502   15.995
   18.283   19.584
           -0.571306 -0.244845 -0.408075
   -3.336   -0.254    2.878    4.183    8.950    9.360   11.666   12.120   15.036   15.773
   17.551   19.397
           -0.530498 -0.285653 -0.408075
   -3.532   -0.304    3.478    4.530    8.714    9.260   10.721   12.849   15.106   15.736
   17.247   18.722
           -0.489691 -0.326460 -0.408075
   -3.674   -0.363    4.125    4.792    8.344    9.301   10.011   13.534   14.760   15.824
   17.520   17.804
           -0.448883 -0.367268 -0.408075
   -3.759   -0.406    4.701    4.952    7.891    9.397    9.620   13.799   14.891   15.776
   16.931   18.147
           -0.408075 -0.408075 -0.408075
   -3.788   -0.422    4.984    4.984    7.655    9.475    9.475   13.746   15.481   15.481
   16.488   18.781
           -0.387672 -0.387672 -0.387672
   -3.619   -0.680    4.958    4.958    7.625    9.446    9.446   13.701   15.998   15.998
   16.937   18.157
           -0.367268 -0.367268 -0.367268
   -3.513   -0.834    4.944    4.944    7.609    9.430    9.430   13.675   16.492   16.492
   17.272   17.606
           -0.346864 -0.346864 -0.346864
   -3.497   -0.858    4.942    4.942    7.607    9.427    9.427   13.671   16.616   16.616
   17.333   17.473
           -0.326460 -0.326460 -0.326460
   -3.574   -0.747    4.952    4.952    7.618    9.439    9.439   13.690   16.176   16.176
   17.072   17.954
           -0.306057 -0.306057 -0.306057
   -3.725   -0.521    4.973    4.973    7.644    9.464    9.464   13.729   15.657   15.657
   16.649   18.562
           -0.285653 -0.285653 -0.285653
   -3.920   -0.209    5.007    5.007    7.682    9.499    9.499   13.783   15.153   15.153
   16.175   19.202
           -0.265249 -0.265249 -0.265249
   -4.136    0.164    5.052    5.052    7.734    9.541    9.541   13.840   14.682   14.682
   15.700   19.846
           -0.244845 -0.244845 -0.244845
   -4.357    0.582    5.110    5.110    7.800    9.584    9.584   13.870   14.256   14.256
   15.270   19.804
           -0.224442 -0.224442 -0.224442
   -4.574    1.035    5.178    5.178    7.877    9.618    9.618   13.796   13.884   13.884
   14.961   19.275
           -0.204038 -0.204038 -0.204038
   -4.781    1.516    5.258    5.258    7.967    9.634    9.634   13.537   13.578   13.578
   14.855   18.649
           -0.183634 -0.183634 -0.183634
   -4.974    2.020    5.347    5.347    8.067    9.620    9.620   13.131   13.348   13.348
   14.903   18.014
           -0.163230 -0.163230 -0.163230
   -5.150    2.542    5.446    5.446    8.175    9.569    9.569   12.659   13.204   13.204
   15.006   17.427
           -0.142826 -0.142826 -0.142826
   -5.308    3.078    5.553    5.553    8.289    9.476    9.476   12.159   13.146   13.146
   15.084   16.947
           -0.122423 -0.122423 -0.122423
   -5.447    3.623    5.664    5.664    8.406    9.349    9.349   11.647   13.169   13.169
   15.048   16.657
           -0.102019 -0.102019 -0.102019
   -5.565    4.170    5.778    5.778    8.519    9.199    9.199   11.133   13.258   13.258
   14.852   16.604
           -0.081615 -0.081615 -0.081615
   -5.662    4.708    5.888    5.888    8.620    9.042    9.042   10.630   13.392   13.392
   14.565   16.717
           -0.061211 -0.061211 -0.061211
   -5.738    5.221    5.989    5.989    8.695    8.895    8.895   10.161   13.547   13.547
   14.281   16.895
           -0.040808 -0.040808 -0.040808
   -5.793    5.677    6.071    6.071    8.725    8.774    8.774    9.770   13.696   13.696
   14.053   17.074
           -0.020404 -0.020404 -0.020404
   -5.826    6.014    6.125    6.125    8.694    8.694    8.697    9.521   13.806   13.806
   13.907   17.206
            0.000000  0.000000  0.000000
   -5.837    6.144    6.144    6.144    8.666    8.666    8.666    9.442   13.847   13.847
   13.857   17.254
